final_trans,compound_score,sentiments
add more insight interest in reading reading religion quality,0.507,positive
add favorite feature borrow books save favorite list,0.8481,positive
email list borrow books help solutions,0.5267,positive
help bookmark suggestions navigate the page,0.4019,positive
edit the date of the normal search feature thank you for the bug update the feature search for book titles found searched searched,0.3612,positive
overall good good novel books apk loading search process,0.7964,positive
password reset error,-0.4019,negative
the application grows fond of reading Indonesian people,0.4404,positive
the book problem search feature appears according to the book meeting good search apk,0.0516,positive
love the book menu the basket is easy to open,0.7964,positive
the full ipusnas application needs to read the pandemic must access digital form the error system resets the account password forgot,-0.4019,negative
the search feature can be error,-0.4019,negative
search for the key problem book type the results appear relevant,-0.4019,negative
search feature results book category feature search for historical keywords relevant books appear solutions,0.1779,positive
search for a good book find a name write a page title look for an application update meeting error thank you,0.4019,positive
Ipusnas helps reduce steel books collections of books add less books borrow and meet books,0.3818,positive
the benefits of adding a collection of books thank you,0.6249,positive
good sometimes looking for books like to meet type in the title of the book name write the title of the book look for Ipusnas,0.6597,positive
the result of looking for a book continuation book how to write a tere liye book shows up good bugs,0.4404,positive
good search results according to the wrong system key good looking for books reading looking inconsequential,0.4019,positive
ipusnas books disappeared ika natashas books disappeared relaxed check novels agatha christie disappeared sad scars ipusnas,-0.5574,negative
good problem search column,0.0516,positive
the search column for the title of the problem book is good,0.0516,positive
the search feature is good look for books borrow meet and borrow history thank you,0.6597,positive
Sorry the searching feature for the maintenance application function,-0.0772,negative
application search book problems both search system,-0.4019,negative
good application complete book collection easy to help pandemic error response is quite fast,0.7003,positive
Saturday Sunday the national library is closed in Jakarta online library is open for confirmation thank you,0.3612,positive
good application helps to experience bugs looking for Ipusnas book meeting oops,0.6705,positive
error kmren register access book maintenance,-0.4019,negative
confused about using a large collection of ebooks thank you,0.0516,positive
open good signal yesterday open,0.4404,positive
ap ipusnas lost book collection,-0.3182,negative
I like the ui design it looks good looks at the command hires a ui designer thank you,0.7845,positive
good thank you ipusnas flower team,0.6597,positive
good app the collection of books is quite complete access try to find author brown try to find the author of borrowed books read lose disturb the app,-0.3612,negative
the search feature is messed up for example search for okky madasaris books,-0.34,negative
like the application help find the title of the book search try the written name the book appears according to search try the title before reading the appropriate results,0.6369,positive
the optimal search feature bug aka find the basic book of written names,0.3612,positive
look for bad apk ng bug,-0.5423,negative
find cool book apps,0.3182,positive
please read the lockwood book co search install search find filters hard to find like fairy tales,0.5267,positive
Sorry for the lack of a book meeting rating the Ipusnas application bug search column is needed because the search results are different the search keywords enter hooks for identification of books titles subtitles written names Ipusnas good bugs convenient to serve Ipusnas works,0.0772,positive
application difficult to read books enter the home ui interface appears difficult line book scroll book box accurate search options basic search title published genre full screen sliding book menu screen appears,-0.6124,negative
easy application to help reading hobbies,0.6808,positive
good verification,0.4404,positive
ipusnas benefits thank you team came up with a brilliant idea,0.836,positive
useful application for taking care of cellphones,0.7269,positive
login application password phone number email login taking care of the state becus application,0.5423,positive
good application add copy of the novel rame bumi by Tereliye the sequel window for the country of bastard tereliye queuing up excitedly copying and borrowing losing quickly excited,0.5859,positive
Its pretty good but a little problem makes you angry so borrowing an error is better,-0.6814,negative
cool suggestion to borrow punctuation read open search again read,0.3182,positive
the application helps like reading books without steel illegal books suggestions for collection of copy books added full features read mode likes the application thank you,0.9067,positive
nice feature cross out gar pdf smcam where to save it is clear dont know examples of love expressing someones love thank you,0.9612,positive
add the novel by tere liye,0.3182,positive
open failed,-0.5106,negative
use it thank you for the spicy eye night mode suggestion,0.3612,positive
good application confused to use search for books search button,0.1531,positive
benefits of literacy people,0.3818,positive
Im happy that Ipusnas reads Epusnas joins in enters Facebooks login password and follows Epusnas,0.5719,positive
install the sas application the recommendation of the assignment reference the book update lost cares about the student,0.1779,positive
blessing,0.4939,positive
the added benefit of knowing the level of literacy culture,0.4588,positive
sorry open the data server,-0.0772,negative
bad ipusnas app yesterday downloaded signal book good good,0.3182,positive
help the benefits of opening insight reading books borrowing suggestions for the week or belonging to reading books belonging to the page thank you,0.7783,positive
like the suggestion application add reference borrow books borrow books flexible days consumer quality applications read download satisfied thank you,0.8271,positive
the app helps the task of entering the week long loan the loan limit is completed automatically returns the book completes the book looks for it thank you,0.6249,positive
happy to use the discussion application just search for googling add a lot of book collection science applications,0.5719,positive
good reading library,0.4404,positive
good app condition book download,0.4404,positive
access the socializer position book suddenly change bookworm and delete error,-0.4019,negative
sorry open the application download smoothly open the application write take server data dls close the application click try,-0.0772,negative
reach internet data good access application,0.4588,positive
collection of free books hope its good read choose good buy physical books help avoid choosing the wrong august book,0.8555,positive
good ipusnas application look for literacy books like the world of education smart ipusnas technology easy to use sophisticated download friendly safe,0.9623,positive
literacy helps students,0.3818,positive
just download the emotion of the book click on the apk force close again need to talk dirty auto uninstall blacklist,-0.4404,negative
difficult login list,-0.3612,negative
thank you phone problem,-0.0516,negative
thank you good response,0.6597,positive
good app error,0.0516,positive
the ipusnas application problem appears remember to take data from the dls server close the application because,-0.4019,negative
good star fire nation attacks ipusnas access try uninstall install open pops up take dls server data close application need reference book huhufufu,-0.34,negative
strange maintenance open,-0.2023,negative
good app borrow book borrow limit day auto delete borrow books borrow borrow notifications reach borrow limit sad,-0.0258,negative
using borrowed uninstall error disappointed,-0.7003,negative
good book books know the world sophie kill mockingbird bug,-0.4215,negative
login rena forgot account password again press the forget password button a network timeout appears ok edit thank you,0.4215,positive
apk open hp clear thank you,0.6249,positive
the application helps the benefits of adding reading material a large collection of books ready books bookmarks the front function of Ipusnas thank you,0.8481,positive
year members open the application open the member list application download borrow books during a pandemic error,-0.4019,negative
Why is the list good the signal is waiting for problems,0.0516,positive
a lot of best seller books really really help thank you,0.8889,positive
download the gb hp package application cook the wrong time waiting for the cellphone,-0.4767,negative
please fix the app,0.3182,positive
healthy books added more references for healthy students doctors nurses thank you,0.8,positive
The book is not complete I complain about Ipusnas I dont want to open books I dont want to open the app,0.1695,positive
awesome admin response,0.6249,positive
good complete easy,0.7003,positive
sorry the developer chose the category click so thank you wassalamualaikum,0.4481,positive
great borrowing the title book,0.6249,positive
help lag annoying error,-0.6249,negative
open good,0.4404,positive
suitable looking for free,0.5106,positive
whats the error,-0.4019,negative
install anti screenshot feature om nb apk version installed normal way screenshot patch forced app update,-0.6486,negative
yesterday bbca download download download failed to continue to do retask mepet value put the app,-0.2263,negative
support free reading applications Indonesian people love to read missqueen budget,0.8807,positive
like error opening borrowed book,-0.0516,negative
good read free books,0.7351,positive
likes to read books read corona books read,0.4215,positive
app error likes to read level system books,0.0258,positive
likes to help pull books,0.6705,positive
nice book love discussion forum,0.7906,positive
Praise the cool book borrowing application when you open it you are disappointed okay,0.5719,positive
sorry the application is difficult to login,-0.4215,negative
yesterday the star of the application opened the book looked for the library in front lots of basic literacy books thorough thank you very much the successful development team,0.7624,positive
confused verification email,-0.3182,negative
Antiradiation reading screen damaged reading peoples reading power level try expensive books free risk of permanent deer please pay attention thank you,0.4019,positive
good suggestion ipusnas application add feature category feature search for easy level books look for ipusnas books collection of books please add country reference books available ipusnas appeal ibi library owned by bank indonesia advice weighing,0.7964,positive
stars line up to borrow books screen notifications are ready,0.3612,positive
good smart smart nation good luck,0.9217,positive
write wrong take dls server data close the application the application must be reinstalled,-0.4767,negative
good application update wait for application update hope cool features add notification feature book sound ready to wait in line,0.8625,positive
good book application open offline remote areas rarely signal open application good quota internet signal you download read offline,0.5859,positive
good application smart benefits for the nations children developer of electrical engineering smart book collection thank you,0.9081,positive
borrow network time out open online features smoothly clear solution,0.5994,positive
thank you natural help application open application application open reinstall open help thank you,0.8979,positive
good app connect server,0.4404,positive
get a notification please fix it,0.3182,positive
good notification appears facebook notification application open apk loses waits in line,0.1531,positive
wait for login hours wait for uninstall good,0.4404,positive
jancuk good concept bussid application pc version update download read redownload the intention of the fencing application with the intention of,0.4404,positive
good application use it smoothly help add insight just read a book download it try to open a book good application application,0.8176,positive
good application hobby reading borrowing downloading net good good thank you,0.8807,positive
like free book reading apps add money when reading low interest apps,0.7717,positive
like the novel mariposa search its good,0.7717,positive
book collection ready books,0.3612,positive
thank you for creating an application to read a book buy,0.5719,positive
ipusnas is a good application thanks flowers ipusnas application borrowed books reads books ready to help finish the pandemic task ipusnas helps borrow house books,0.9118,positive
help withdraw add to know the complete collection library long week loan thank you,0.6369,positive
great theres an error,0.34,positive
its hard to read a book click borrow open,-0.1027,negative
sorry star sorry personal facebook failed immediately during the pandemic blessing the education system must read home,-0.1779,negative
free collection borrow read borrow application close the title of the book,0.5106,positive
happy apps ui ux,0.5719,positive
application of benefits of easy flowers brings a positive influence,0.8442,positive
login using email email password failed to login using facebook waiting for a good net,-0.1027,negative
thank you ipusnas add reading collection,0.3612,positive
thank you the application helps fail to borrow a book error,-0.2732,negative
the application of benefits for the level of interest in reading Indonesia adds a wishlist feature easy to find books to read thank you,0.875,positive
Oops Ipusnas is installed Im confused Ipusnas is good thank you,0.4767,positive
its hard to log in using facebook run using email it says the password is right,-0.1027,negative
the apk wrote wrong took the ols server data the apk helped finish the thesis how did it go,-0.4767,negative
thank you ipusnas best principal,0.7717,positive
Satisfied with Ipusnas sorry Sunday July I borrowed a large Ipusnas book Download file is available Description book appears both applications appear,0.3612,positive
recommended house library collection is quite complete,0.2023,positive
read practical books suggestions large collection of books elementary school textbooks skilled books thank you,0.3612,positive
good app says fetch dls data,0.4404,positive
flexible application of the national library iprit hadeeh,0.2263,positive
open the application open the book application stop thesis apk stop good,-0.128,negative
strange application facebook login finished support signal hours sorry for complaining good reviews think good quality is bad regret downloading the application,-0.1779,negative
sorry ipusnas forma level sometimes network timeout problems sometimes level,-0.4588,negative
Ipusnas is difficult to access open the application write retrieve server data help,0.0516,positive
to try to open the application open it using home wifi the signal is stable the service level is good peoples reading interest increases literacy,0.7964,positive
email verification login is difficult to enter smart email likes the error teaching reference application,0.0772,positive
download the wrong apk open the application open the application,-0.4767,negative
sometimes applications sometimes read books like to lose books on borrowed shelves,-0.0516,negative
try the money for online training buy the cucur cake buy a good server error,0.0516,positive
after the update the borrowed download error is lost logout of the server data,-0.6124,negative
literacy followup error application,-0.4019,negative
wrong download star,-0.4767,negative
excuse me new login relogin difficult to login facebook good login need to wait for login,0.1779,positive
thank you cool application read plus free in front of the application sometimes the application error the benefits of adding knowledge where,0.7906,positive
ok problem borrow a book thank you,0.25,positive
download the ipusnas application login account help thank you,0.6369,positive
book download bookshelf read click force close annoyed using realme,-0.3818,negative
book download error,-0.4019,negative
read free books complete books novels reference books,0.5106,positive
Sorry stock borrow books borrow apps book earth tere liye stock is out of stock kepo novel lots of borrowed stock,0.25,positive
thank you apk its quite helpful looking for reference books thorough articles pandemic hard to go apk helps complete scientific book collections,0.7778,positive
likes to read books easy access easy borrowing distance from home library thank you the application helps likes to read goes into dark mode tired bright phone screen thank you thank you process,0.9612,positive
a steady trial of the Indonesian national library institution the effort to present a good online library,0.4404,positive
application is broken fetch server data failed,-0.7506,negative
wrong dls good,-0.0516,negative
ipusnas access error using wifi,-0.4019,negative
I like the application sometimes the error opens both fast and good,0.4019,positive
disappointed try to open the application,-0.4767,negative
happy good application normal fast reading access,0.765,positive
sorry the application sometimes likes to lose network reload books sometimes login using facebook uninstall install,-0.0516,negative
install the connection to the dls server its clear,0.3818,positive
secure private net connection problem smoothly,-0.0772,negative
play store provides institutional library applications one order belonging to the form of Ipusnas Ipusnas content belonging to collections belonging to Ipusnas rather than door applications collection applications weighing access applications,0.34,positive
Thank you for being available for free online book lending application permission maintenance process seconds application error thank you,0.6808,positive
good bug borrowed books like lost borrowed logout percentage of progress read the way to read the book progress read open the page read the page forgot to give bookmarks so scrolling,0.8271,positive
sorry satisfied facebook confirmation application waiting for email verification failed to help,0.2263,positive
the app helps gabut quite a bit more insightful sometimes the app likes errors downloading notebooks is missing error opening the app,-0.2263,negative
reply in the comments review the date of opening and borrowing its still an easy borrowing error ok,0.34,positive
sorry fast dls keep,-0.0772,negative
educating the natural nation is disturbing borrowing a good book disturbing,-0.296,negative
open the application try again check the connection the results are good,0.4404,positive
sorry ipusnas made a mistake taking good dls server data,0.0516,positive
deserves to open a review of the maintenance process likes to read useful applications,0.6908,positive
star app good apk apk fetch dls server data,0.4404,positive
ipusnas is hard to open account list,-0.1027,negative
good book download app,0.4404,positive
sorry after installing open wrong help thank you,0.2023,positive
good literacy level access error new application full signal good thank you,0.6808,positive
in good abundance of knowledge app error,0.0516,positive
help students find book references,0.4019,positive
good good benefits read free quality steel original books thank you very much,0.9382,positive
previously helped the book not borrow the book failed maintenance,-0.5106,negative
the application helps find borrowed book references wrongly load net data hope the application is good thank you,0.872,positive
likes reading Ipusnas books borrowing books interrupting the fast maintenance process,0.1531,positive
good apk logout,0.4404,positive
good app good search features,0.7003,positive
good benefits of advice on the duration of borrowing papas week books,0.6705,positive
sorry good app error,-0.0258,negative
application for borrowing books road error pandemic application,-0.4019,negative
the benefits of error are looking for comfort measuring the cover balance both when the National Library application loses to the online platform,0.0258,positive
new bad app lags bookmark function keep scrolling bookmark app,-0.7184,negative
Yesterday I had good access to Ipusnas I borrowed a special application book for the hobby of reading Ipusnas it will be fine soon,0.7506,positive
good need charcoal books know the field of cool students top,0.7184,positive
change good,0.4404,positive
the application likes to download read the application is good,0.6908,positive
good book problem book book page sign read,0.0516,positive
good application for books just select the title find quite a lot of books sometimes access is smooth the main admin is off thank you,0.6597,positive
smooth thank you,0.3612,positive
difficult to access books stable internet connection thank you so much,0.296,positive
good normal add book collection,0.4404,positive
edit thanks for the good response,0.7003,positive
thanks for reading the app,0.4404,positive
love the app thank you,0.7717,positive
cool thank you,0.5859,positive
good application good wishlist read read forget the title of the book read,0.5994,positive
maintenance ipusnas thank you,0.3612,positive
good application thank you ipusnas team,0.6597,positive
sorry login login login help,0.34,positive
problem app open,-0.4019,negative
times when borrowing books fail network timeout login net is difficult the application is good,-0.4767,negative
week of registering smoothly borrowing reading books opening and borrowing books confused mental system login need sources of literacy library books need lectures help the Ipusnas program help during the covid pandemic thank you,0.6808,positive
application benefits borrow digital books for free read read transportation troubleshooting system difficult to borrow books Wednesday July yesterday ken weekend reading material,0.6249,positive
history of books meaning of books according to borrowing reading books difficult to login facebook borrowing books server timeout,-0.3612,negative
good help app good connection app its hard to enter,0.7964,positive
picture of national character free application many errors open country read quality wrong positive good good intelligent good nation nations generation hobby free reading good quality collection of books online reading applications paid for lost ipusnas paid cheaply reach for a good quality system,0.9638,positive
borrow books for free borrow hard to net data packets,0.4404,positive
read reviews queue for books Grandma Sapardi ready to borrow application problems profit bookshelf stock borrow literacy,0.4019,positive
good network timeout disrupts internet smoothly loading borrow books collection of books looking for popular books disappointed good ahead,0.6705,positive
hard to reach server good,0.3818,positive
bad application good wrong less,-0.5719,negative
download open write data take dls server ready,0.3612,positive
borrow a good book,0.4404,positive
Thank you for the application the benefits of borrowing books maintenance borrowing books failing to load the login book it is difficult to participate in school literacy activities,-0.1779,negative
application to help borrow campus books borrow need need,0.4019,positive
good update error book download but level book,0.0258,positive
the server is down the update is good,0.4404,positive
likes ipusnas helps like reading books likes to log out its difficult to log in,0.802,positive
install open wrong server take data,-0.4767,negative
the application for the librarian opens the server error discards the librarians command the application supports online teaching children covid,-0.296,negative
easy cool logout login error difficult to maintain pandemic suitable for reading books applications often have errors,-0.34,negative
sorry login dls dls mean,-0.0772,negative
good signal wifi network error,0.0516,positive
look for books in the category write data what happens apk bug hp error apk read smoothly the limit for reading books means,-0.4019,negative
borrow Ipusnas books read books wait its okay,0.2263,positive
the full benefits of the server error signal is good good,0.6908,positive
sorry the open and borrow application failed,-0.5574,negative
hard to log in good internet connection,0.3612,positive
its hard to borrow a book click borrow an optional book stuck appears,-0.34,negative
dear ipusnas open application appears dsl,0.3818,positive
the application helps students find thesis references the pandemic app likes error logout open internet connection smoothly uninstall install login good email,0.6808,positive
borrow a good borrowing book,0.4404,positive
yesterday ipusnas error hp xiaomi note pro,-0.4019,negative
dear ipusnas application flowers like the bug application good thank you,0.8591,positive
disappointed its difficult to log in using Sunday book downloads good developers read books,-0.4019,negative
thank you the benefits of helping the pandemic are carried out reading koi fish sharks ehe love you,0.8885,positive
just got an error borrowing a good book is comfortable now there are a lot of errors,0.2732,positive
thank God reading the book really appreciate it like the application it is difficult to log in and out of the application thank you,0.854,positive
good book full of features for the benefit of the book,0.7096,positive
network timeout reading sad apps,-0.4767,negative
good application network timeout bug stable net loading sad application after a bad update,-0.3612,negative
like the error problem application good good,0.4404,positive
borrow books easy download books borrow books,0.4404,positive
just downloaded a good application slow loading borrow a bright book network time out pay attention,0.6597,positive
love to read books add to the collection tere liye,0.6369,positive
good application good bug use,0.7003,positive
thank you the application helps the hours of borrowing books the results are clear the results are failed to borrow books wrong load details network timeouts network signal data difficult to log in good applications,0.1779,positive
nice app,0.4215,positive
help good reference book level hope religious event category is good good download right download sometimes download open download,0.9231,positive
good application good error fast thank you,0.6808,positive
thank you the ipusnas app is easy to read the app is looking for a good college tips book the app is disappointed because it tries to log in,0.6369,positive
good application update smkin mksmal,0.4404,positive
download the registration application via email borrow the process download exit write file appear book page home search open appear write file both good apk ipusnas helps teach the pandemic,0.6705,positive
optimistic that Indonesia is progressing for science,0.3182,positive
register download borrow send email verification solution using ipusnas,0.3182,positive
the benefits of looking for a thesis reference thank you,0.6249,positive
excuse me,0.0772,positive
maintenance application appreciation for breakthroughs in the Indonesian national library forward never back down Indonesia broad insight,0.5106,positive
easy to read,0.4404,positive
msk ipusnas internet connection is good it fails its wrong,-0.4588,negative
valid password registration check password wrong help,-0.1027,negative
like ipusnas the online pussy solution when lazy which bookstore is practical where to read ipusnas,0.3182,positive
good application thank you task application thank you,0.7845,positive
dear ipusnas team screenshots of the application have been removed features of the version change color read disappointed update hobby quote sentences from books use screenshots have the color change feature allow screenshots to interfere with literacy right,0.1531,positive
good stars many try to download ratings honest downloads good apps select the category booklet enter the popular list read background change dark mode,0.8979,positive
sorry its hard to borrow a book,-0.1779,negative
Suggest lots of nonfiction books science textbooks motivational books best selling books translations,0.6369,positive
read the lock screen bright the punctuation mark page is disturbing strange comfortable good full page model close close,0.6124,positive
thank you ipusnas for a large collection of flower books,0.3612,positive
yes read,0.4019,positive
good app benefits dark background mode good write on function,0.8126,positive
great application useful and helpful,0.8689,positive
thank you ipusnas success,0.7351,positive
Ipusnas downloads books thank you it turns out to be the internet,0.3612,positive
the complete collection experiences lagging errors open the ipusnas app borrow books out of stock aka borrow wait for books overall good literacy,-0.1531,negative
good easy to read books looking for assignment references,0.7003,positive
Its hard to log in longing to read free legal books,0.5106,positive
National Library thank you for being ready to read online borrow books many books Tereliye cooks in line,0.6124,positive
thank you for helping to find references,0.5719,positive
hello update the borrowed novel application open maintenance pls waste the quota sorry disappointed,-0.5574,negative
borrowed book download down level error yesterday yesterday liked apk,0.0258,positive
good read premium free matures,0.7351,positive
Thank you online libraries suggestions lots of references nonfiction books good books good books show resistance book structure change the structure according to writing good cellphones,0.8807,positive
good app level help,0.6808,positive
good error net,0.0516,positive
idk,-0.1027,negative
nice library,0.4215,positive
ipusnas app download try borrowing book account sorry ipusnas app give a star,-0.0772,negative
download borrow books disappointed already linked facebook email using the za application,-0.4767,negative
Its hard to enter load is corrected,-0.1027,negative
wow good app read free read covid book library download ipusas,0.875,positive
the collection is quite complete help find a pussy reference,0.4549,positive
easy to use,0.4404,positive
land of love landa covid librarian primary application online reading culture aids school students must be literate reading street children generation of blind nation read a lot of fiction books category hatur nuhun elementary school children Bandung literacy,0.3612,positive
told to login using facebook email login stuck login page repeated times using data a lot of signals sometimes using wi fi ok place to read Ipusnas legal books,0.1779,positive
ipusnas reads exciting books reading stars,0.4939,positive
great application buy books read applications literacy culture level enterprising content at home wfh thank you,0.872,positive
hard to login facebook email,-0.1027,negative
good book complete history novel book,0.6369,positive
thank you developers for creating honest applications help find free extensive reading sources read superior forms of human resources,0.9477,positive
complete heroes olympus series rick riordan books waiting for updates for epub format books bookmarks using the bomb feature use spirit,0.8402,positive
like the application read buy add to the collection of tere liye bestselling novels,0.3612,positive
add stars its better to quickly load book images,0.4404,positive
the application helps add a cool audio book thanks ipusnas,0.7783,positive
apk error page open,-0.4019,negative
help the application theme suggestion application pull comfortable thank you,0.8176,positive
help literacy interest in reading,0.6908,positive
sorry download wait download good signal storage just install open stop screen error take data easy easy good,0.7506,positive
application benefits like reading translated novels buy patience queue good trees complete book series geeks must download,0.765,positive
good application the National Library is quite complete serving books just update the star book maaih forceclose application template more interesting thank you,0.8258,positive
nice apk help,0.6705,positive
thank you application benefits to be loyal to ipusnas ipusnas book loan login bug pops up news of ipusnas application bug download week ipusnas bug appears thank you sorry disappointed,0.743,positive
crazy addicted to reading because of the app,-0.34,negative
Thank you National Library of Indonesia for providing free books how good is the function of the page save the page you cant access it,0.8979,positive
help in the middle of a pandemic thank you easy light application favorite book feature accidentally see book pull home save favorite book,0.9313,positive
good hard to get a book,0.3612,positive
thank you the application adds knowledge to being taught its better to read legally buy steel write the best price,0.875,positive
serious,-0.0772,negative
useful application likes to read cellphones books suggestions good applications borrow good scraps contribution applications in order to increase the reading interest of the Indonesian people in the future,0.9413,positive
hope the book is complete,0.4404,positive
use the easy application borrow a book login borrow a book download write a file meet the download button press like force close the cover of the download book appears loading appears the internet network appears please help thank you,0.8979,positive
book add look for sub page thank you,0.3612,positive
good application access clothing for the visually impaired screen reader access to screen reader access to clothing for the visually impaired travel to teachers apk borrow books as a reference for compiling assignments thesis and clothing for the blind low vision,0.0258,positive
good book complete reading good idea orders to increase interest in reading Indonesian people millennials inconvenience constraints serious orders develop apps good ideas,0.8807,positive
borrow a book sorry,-0.0772,negative
first install happy to stock up on reading books cranky apps open books uninstall Sundays install open solution books,0.7184,positive
good app slow download,0.4404,positive
ipusnas application open play play good signal,0.7717,positive
good book download error good borrow book download interface good comfortable then thank you,0.8957,positive
like the new ipusnas application developing suggestions for ipusnas a collection of various books published a large collection of bestseller written books stock of books running out queue numbers line up borrow books grab a week get a book tere liye thank you so much,0.6124,positive
good free book reading apps reading apps open books scroll pages fortunately remember to read please read the National Library of Indonesia books,0.8176,positive
Ipusnas advice permission to read history to sort for account reading history to recommend books for advice to delete wishlist history to be confused looking for books to read books to wait list to wait in line thank you success,0.7506,positive
good borrowing system borrowing books at night borrowing well ipudnas book borrowing system thank you,0.7579,positive
star try the application try to borrow a book the application is good network error notification reopen the application network error notification good mobile signal good review of the contents of the book thank you,0.7003,positive
thank you the ipusnas application benefits from beating the school lockdown period online login wait for hours checkbook access good internet quota signal loading help thank you,0.8481,positive
always error,-0.4019,negative
love to read novels for free cool,0.8689,positive
stop queuing notifications read annoying notifications,-0.5994,negative
like good error logout app copy book hard download book good stable app change star,0.7506,positive
ipusnas is a good application rarely updates translated novels adds novels retranslates novels reads novels says update stage,0.4404,positive
account problem book account read good fast,0.0516,positive
good app read books buy nb buy steel books better read books,0.7003,positive
net problem clear system cache read rescroll sign read,-0.0258,negative
Okay thank you,0.5267,positive
choose a book application read a book borrow a developer fast good,0.4404,positive
thank you for the application of the benefits of love for books interest in reading indo again,0.9062,positive
mantop good,0.4404,positive
good application recommended by the younger generation of literacy culture,0.5719,positive
Thank you the ipusnas app read free books update novels add weight to your rating,0.7003,positive
complete cool,0.3182,positive
download smoothly open the login application refresh look for books read books download help thank you,0.6369,positive
convenient user friendly early login quick register additional download fast scol feature,0.4939,positive
Hahah Im tired of using the application I like the collection of books its pretty good,0.6908,positive
application benefits help task sorry ipusnas open error press download,0.3182,positive
thank you for the benefits of good business constraints,0.7906,positive
forgot password link send email using good application error,0.0516,positive
its good to be more aware of holding the physical book failing to detail the book,-0.1027,negative
sorry application logout information thank you,0.296,positive
good many choices,0.4404,positive
download verification email verification notification thank you,0.3612,positive
Disappointed INPUSNAS login is difficult email Facebook loading the end is fun reading IPUsNAS books easy complicated different disappointed lahhhhhhhhhhhhh,-0.3612,negative
why rarely use it like errors like logging out login its very difficult to log in like bad lots good signal hard to borrow a book ok so tired good uninstall,-0.3951,negative
Error borrowing books is difficult to download good during the Ipusnas pandemic I need to find references for thesis assignments,-0.3182,negative
add a fast scroll feature read rich pages add a cool discussion group change profile photos blank photos review Uneg Uneg front of literacy,0.7096,positive
hard to access logout borrow books,-0.1027,negative
bad open,-0.5423,negative
good deserves appreciation for the level of interest comfortable reading,0.91,positive
write ipusnas stop maintenance,-0.296,negative
thank you ipusnas slow response downloading info reading ipusnas recommended books reading ipusnas meeting thank you,0.7003,positive
good signal loading click respond,0.4404,positive
the application helps find books for the literacy level of the nations children,0.3818,positive
good book download book again failed to download,-0.1027,negative
crazy applications heavy books digital reading appreciation of bugs account logout loading network time out internet connection force close appears clean bad scrolling difficult to log in to the National Library serious flower application thank you,-0.0516,negative
good uninstall install eh,0.4404,positive
easytoread useful application which error application is difficult to borrow a good book thank you,0.4767,positive
Ipusnas borrows books again its easy to signal,0.4404,positive
good application good online books benefits from bug errors so because of inconvenience read well thank you,0.7806,positive
the application opens a bit error update,-0.4019,negative
good application borrow error,0.0516,positive
good apk add more insight,0.4404,positive
good application suggestions features favorite stars bookmarks interest borrow stay favorite column look for books of interest plan to read tomorrow,0.9313,positive
the pull application helps find Ipusnas references difficult to access,0.0258,positive
likes to read Ipusnas books likes to read cellphone books genre many Islamic books thank you Ipusnas,0.7964,positive
the ipusnas application really helps students need a reference date of june application error borrowing books is good the system needs an application thank you,0.6801,positive
complain,-0.3612,negative
library click error load star borrow book,-0.4019,negative
thank you ipusnas easy to read books dream books novel series by agatha christie ipusnas app finished book curious about the story try to appear write take data good dls server,0.9169,positive
the ipusnas application helps search and read books buy borrowing methods easy application errors good application errors appear pullout applications comfortable reading,0.7845,positive
borrow the library list appear try the safe application safe,0.7003,positive
normal app benefits app,0.3818,positive
less notebooks lost lost,-0.4692,negative
help borrow,0.4019,positive
community benefits books are ready,0.6249,positive
good net opening lot,0.4404,positive
hr star maintenance application hats off fencing command application application development hire professional expert perfect application strong stable application server heading for sentences developed nations like to read ipusnas digital era ideas ir ferguso,0.8979,positive
frequent errors whether borrowing a network time out book comes out,-0.34,negative
slow update access to happy books free online library,0.7906,positive
thank you ipusnas good help fast thank you,0.8625,positive
krmn month using a good application whats the problem with logging out and login its hard to borrow books fail online library pandemic is needed and students are looking for teaching materials,-0.5719,negative
good application user friendly preload benefits make it easy to read pages the delete history feature is cooler,0.891,positive
sorry application stars like logout errors hard to relogin difficult to access good applications help,0.3612,positive
good,0.4404,positive
the application helps find reference sources error open developer is missing problem thank you june the application is experiencing new home problems good developer problem thank you,-0.3612,negative
error borrowing application book login logout,-0.4019,negative
flower update lot version forgive auto uninstall good,0.6124,positive
cool reading smartphone book collection,0.3182,positive
signal problem loading signal likes to fail reader is comfortable scrolling hard to select find app page pc search feature add wishlist feature use book stock out of wishlist book stock out thank you,0.25,positive
logout login hard to log in reading books,-0.1027,negative
borrow book error refresh,-0.4019,negative
its been bad since the ss error update its hard to return books its hard to borrow books refresh connections are good its hard to improve,-0.3818,negative
sorry for having open the book the server timeout is good in vain apk,-0.0516,negative
user friendly app,0.4939,positive
good application for a while borrow a book,0.4404,positive
good app read name book free bug take care of ogoh ogoh,0.8555,positive
app appreciation error logout notification of problems the process of borrowing books good read genre books satisfied pay thank you help apps,0.8126,positive
good ios search feature,0.4404,positive
a good application that helps you like to read clashes and buy books books are quite complete sometimes you are annoyed with the application sometimes you logout problems are good the collection of books is complete,0.6808,positive
Sorry loading borrowed books downloading checking books main screen cover image title details notebook time out problem loading internet connection has been force closed main menu influences type of assistive cellphone,-0.4588,negative
download the book is good,0.4404,positive
read books hard to net smooth and victorious clear cache clear data download download process,0.5859,positive
good login app,0.4404,positive
good smooth like downloading ebooks like account login error reset password web error good thank you,0.7845,positive
book collection is quite error slow working,-0.4576,negative
